epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11813,1.81582,1.6653,1.58007,0.49881,0.47099,0.50399,0.2301,1.60764,1.16162,1.23602,0.0001684,0.0001684,0.0001684
86,11934.3,1.76094,1.72189,1.60847,0.51357,0.47094,0.49884,0.22643,1.61456,1.11307,1.2299,0.0001585,0.0001585,0.0001585
87,12055.3,1.78914,1.67304,1.58352,0.45885,0.45286,0.46971,0.22009,1.55224,1.19534,1.24118,0.0001486,0.0001486,0.0001486
88,12176.7,1.7413,1.62976,1.57534,0.82711,0.45972,0.49533,0.24115,1.54821,1.03168,1.22277,0.0001387,0.0001387,0.0001387
89,12298.3,1.84083,1.61007,1.58934,0.79688,0.47348,0.46966,0.22917,1.45226,1.11309,1.22177,0.0001288,0.0001288,0.0001288
90,12419.8,1.80766,1.58627,1.60138,0.46579,0.52971,0.48491,0.21889,1.58398,1.25985,1.25284,0.0001189,0.0001189,0.0001189
91,12555.2,1.72326,1.42408,1.44509,0.42867,0.51531,0.47913,0.23532,1.46827,0.97323,1.21267,0.000109,0.000109,0.000109
92,12675.7,1.65873,1.40495,1.44066,0.45418,0.48885,0.46224,0.22441,1.45814,1.06175,1.206,9.91e-05,9.91e-05,9.91e-05
93,12795.5,1.63321,1.41347,1.46356,0.45633,0.53155,0.46282,0.2206,1.40105,1.03902,1.20854,8.92e-05,8.92e-05,8.92e-05
94,12915.7,1.62579,1.31908,1.42446,0.45887,0.4958,0.4507,0.22032,1.42199,1.09989,1.21607,7.93e-05,7.93e-05,7.93e-05
95,13035.6,1.72362,1.44387,1.45181,0.46675,0.50008,0.47002,0.23081,1.42002,1.24857,1.21708,6.94e-05,6.94e-05,6.94e-05
96,13155.4,1.62579,1.37499,1.41485,0.80379,0.49823,0.47459,0.23683,1.43386,1.19833,1.2041,5.95e-05,5.95e-05,5.95e-05
97,13275.3,1.62222,1.38793,1.45085,0.46237,0.50208,0.47596,0.23538,1.38933,1.15938,1.20764,4.96e-05,4.96e-05,4.96e-05
98,13395.2,1.62878,1.38087,1.42943,0.47116,0.49336,0.48804,0.23042,1.44375,1.04103,1.21082,3.97e-05,3.97e-05,3.97e-05
99,13515.1,1.72047,1.33009,1.41253,0.47799,0.49085,0.49684,0.23661,1.46866,1.04091,1.20724,2.98e-05,2.98e-05,2.98e-05
100,13635.3,1.66038,1.37633,1.42635,0.48998,0.49375,0.48959,0.23782,1.46886,1.02655,1.21074,1.99e-05,1.99e-05,1.99e-05
